,metro,price,minutes,way,provider,fee_percent,views,storey,storeys,rooms,total_area,living_area,kitchen_area
0, Tulskaia ,21950000,10,transport,owner                 ,0,760,3,5,3,71,56,9
1, Tulskaia ,21950000,10,transport,owner                 ,0,768,3,5,3,71,56,9
2,Outskirts,11036289,0,transport,agency                 ,0,48,11,19,2,56,56,56
3,Outskirts,10233650,0,transport,agency                 ,0,66,11,19,2,56,56,56
4,Outskirts,10197166,0,transport,agency                 ,0,79,12,19,2,56,56,56
5,Outskirts,10160683,0,transport,agency                 ,0,56,12,19,2,56,56,56
6,Outskirts,10872113,0,transport,agency                 ,0,57,13,19,2,56,56,56
7,Outskirts,10142441,0,transport,agency                 ,0,60,13,19,2,56,56,56
8,Outskirts,10981564,0,transport,agency                 ,0,56,13,19,2,56,56,56
9,Outskirts,8975232,0,transport,agency                 ,0,76,13,19,1,56,56,56
10,Outskirts,10835629,0,transport,agency                 ,0,56,14,19,2,56,56,56
11, Tulskaia ,21950000,10,transport,owner                 ,0,768,3,5,3,71,56,9
12, Fili ,11500000,14,walk,realtor                    ,0,2,3,9,1,41,26,7
13, Babushkinskaia ,12200000,5,walk,realtor                    ,0,3,15,17,2,99,66,28
14, Taganskaia ,11400000,4,walk,realtor                    ,0,3,3,13,1,44,22,8
15, Oktiabrskoe pole ,16000000,10,walk,realtor                    ,0,1,6,16,1,177,86,86
16, Medvedkovo ,13700000,15,walk,realtor                    ,0,102,17,17,2,51,30,10
17, Tekstilshchiki ,11500000,7,walk,realtor                    ,0,4,5,16,1,38,20,9
18, Volokolamskaia ,11900000,8,walk,agency                    ,0,84,4,17,1,5,19,8
19, Prazhskaia ,9800000,7,transport,agency                    ,0,4,5,9,2,45,28,6
20, Kakhovskaia ,12500000,3,transport,agency                    ,0,6,8,9,1,31,21,5
21, Iasenevo ,7500000,18,walk,agency                    ,0,854,6,16,3,73,44,10
22, Olkhovaia ,16500000,15,transport,agency                    ,0,49,2,9,3,78,44,12
23, Kropotkinskaia ,10200000,9,walk,realtor                    ,0,12,2,8,1,43,31,7
24, Krasnopresnenskaia ,17000000,15,walk,realtor                    ,0,15,17,60,3,136,91,16
25, Marina Roshcha ,15300000,14,walk,realtor                    ,0,9,16,22,3,82,66,11
26, Dinamo ,11490000,3,walk,realtor                    ,0,286,4,12,1,56,56,56
27, Filatov Lug ,10600000,20,transport,realtor                    ,0,59,3,4,3,56,56,56
28, Petrovskii park ,8850000,8,transport,agency                    ,0,16,10,17,1,38,17,9
29, Fonvizinskaia ,9900000,8,walk,agency                    ,0,584,1,5,1,3,19,6
30, Taganskaia ,30000000,10,walk,agency                    ,0,15,9,12,3,56,56,56
31, Novoperedelkino ,17690000,6,transport,realtor                    ,0,1014,13,16,3,56,56,56
32,Outskirts,10817387,0,transport,agency                 ,0,53,13,19,2,56,56,56
33,Outskirts,10215408,0,transport,agency                 ,0,67,11,19,2,56,56,56
34, Tulskaia ,21950000,10,transport,owner                 ,0,768,3,5,3,71,56,9
35, Kitai-gorod ,22000000,10,walk,realtor                    ,0,20,3,5,3,87,56,12
36, Skhodnenskaia ,11500000,21,walk,realtor                    ,0,11,10,16,1,76,53,18
37, Serpukhovskaia ,11500000,13,walk,realtor                    ,0,13,2,9,1,35,19,7
38, Nagatinskaia ,11500000,16,walk,realtor                    ,0,18,17,24,,58,18,14
39, Arbatskaia ,11500000,8,walk,realtor                    ,0,15,3,5,1,32,19,6
40, Babushkinskaia ,11450000,16,walk,realtor                    ,0,12,13,18,1,52,24,14
41, Shchukinskaia ,22000000,17,walk,realtor                    ,0,13,8,18,3,70,46,10
42, Komsomolskaia ,20500000,10,walk,realtor                    ,0,9,6,7,2,86,51,13
43, Bibirevo ,15000000,3,transport,realtor                    ,0,11,13,22,2,79,32,18
44, Frunzenskaia ,16000000,15,walk,realtor                    ,0,11,3,12,1,47,33,9
45, Tcaritcyno ,20000000,4,transport,realtor                    ,0,12,8,15,2,76,39,12
46, Serpukhovskaia ,14500000,5,walk,realtor                    ,0,8,8,12,2,49,29,10
47, Okskaia ,17000000,3,walk,realtor                    ,0,12,15,25,3,107,59,17
48, Babushkinskaia ,15500000,5,walk,realtor                    ,0,14,9,12,3,91,79,7
49, Studencheskaia ,27832000,4,transport,agency                    ,0,328,30,41,2,8,34,10
50, Marina Roshcha ,18308360,5,walk,agency                    ,0,325,50,55,,56,56,56
51, Mezhdunarodnaia ,35450000,4,walk,agency                    ,0,2062,79,95,2,72,40,15
52, Mezhdunarodnaia ,53050000,4,walk,agency                    ,0,3009,69,95,3,123,80,15
53, Mezhdunarodnaia ,22800000,4,walk,agency                    ,0,3062,80,86,1,43,25,10
54, Bulvar Rokossovskogo ,10200000,3,transport,realtor                    ,0,27,7,29,1,51,20,11
55, Begovaia ,10200000,8,walk,realtor                    ,0,24,16,37,1,54,23,10
56, Akademicheskaia ,10200000,15,walk,realtor                    ,0,21,12,13,1,48,34,9
57, Riazanskii prospekt ,21500000,6,walk,realtor                    ,0,17,15,24,3,121,61,20
58, Dmitrovskaia ,18500000,14,walk,realtor                    ,0,11,3,14,2,75,42,12
59, Park kultury ,14000000,11,walk,realtor                    ,0,17,3,5,2,46,31,10
60, Frunzenskaia ,10150000,4,walk,realtor                    ,0,18,2,9,1,34,19,8
61, Kitai-gorod ,17000000,10,walk,realtor                    ,0,26,3,5,3,73,52,8
62, Ulitca 1905 goda ,10150000,9,walk,realtor                    ,0,21,4,7,,53,37,11
63, Preobrazhenskaia ploshchad ,15300000,6,walk,realtor                    ,0,35,7,10,3,78,56,15
64, Ramenki ,10150000,34,walk,realtor                    ,0,18,3,22,1,44,19,13
65, Tulskaia ,21950000,10,transport,owner                 ,0,768,3,5,3,71,56,9
66, Ulitca 1905 goda ,8700000,15,walk,realtor                    ,0,17,9,12,,36,19,10
67, VDNKh ,8600000,4,transport,realtor                    ,0,22,10,17,1,36,20,8
68, Vodnyi stadion ,8600000,14,walk,realtor                    ,0,18,17,22,1,42,17,15
69, VDNKh ,18000000,3,transport,realtor                    ,0,23,14,58,,83,51,12
70, Krasnye vorota ,8500000,9,walk,realtor                    ,0,23,4,12,1,34,18,7
71, Krasnye vorota ,14000000,8,walk,realtor                    ,0,18,5,8,2,58,36,7
72, Tretiakovskaia ,8500000,4,walk,realtor                    ,0,17,4,14,1,35,18,9
73, Maiakovskaia ,8500000,10,walk,realtor                    ,0,18,4,10,1,45,29,11
74, Kitai-gorod ,8500000,11,walk,realtor                    ,0,17,2,9,1,33,18,7
75, Chertanovskaia ,35000000,10,walk,agency                    ,0,86,13,22,5,159,92,13
76, Petrovskii park ,8850000,8,transport,agency                    ,0,26,10,17,1,38,18,9
77, Nagornaia ,11200000,20,walk,realtor                    ,0,170,13,16,1,56,56,56
78, Kaluzhskaia ,50242000,12,walk,agency                    ,0,144,4,31,3,3,140,20
79, Dmitrovskaia ,10500000,18,walk,realtor                    ,0,434,1,5,2,44,30,7
80, Okruzhnaia ,5900000,7,walk,agency                    ,0,277,4,5,1,56,56,56
81, Fili ,39700000,20,walk,agency                       ,0,611,11,28,3,56,56,56
82, Shchukinskaia ,21000000,10,walk,agency                       ,0,335,7,8,2,56,56,56
83, Kolomenskaia ,15000000,5,walk,agency                       ,0,376,12,16,3,54,40,8
84, Shchelkovskaia ,12500000,8,walk,agency                       ,0,275,11,18,1,45,21,11
85, Aeroport ,16500000,15,walk,agency                       ,0,272,3,5,3,56,56,56
86, Polezhaevskaia ,29700000,15,walk,agency                       ,0,2102,15,31,3,129,65,15
87, Bratislavskaia ,9000000,8,transport,agency                    ,0,70,4,5,2,56,56,56
88, Kuzminki ,13300000,5,walk,realtor                    ,0,111,3,5,2,45,29,6
89, Babushkinskaia ,9300000,10,transport,realtor                    ,0,65,1,9,1,32,15,6
90, Novoperedelkino ,15500000,8,walk,realtor                    ,0,330,13,17,3,75,45,11
91, Michurinskii prospekt ,35000000,15,walk,realtor                    ,0,209,2,25,3,96,52,11
92, Fili ,11500000,14,walk,realtor                    ,0,18,3,9,1,41,26,7
93, Slavianskii bulvar ,17000000,0,walk,realtor                    ,0,215,1,5,3,58,41,8
94, Polianka ,374000000,5,walk,agency                    ,0,136,12,14,4,56,56,56
95, Polianka ,489000000,5,walk,agency                    ,0,159,13,14,5,56,56,56
96, Tulskaia ,21950000,10,transport,owner                 ,0,768,3,5,3,71,56,9
97, Polianka ,552000000,5,walk,agency                    ,0,156,10,14,6,56,56,56
98, Polianka ,1026000000,5,walk,agency                    ,0,182,13,14,5,56,56,56
99, Kosino ,8400000,15,walk,realtor                    ,0,28,3,9,1,28,16,7
100, Akademicheskaia ,14500000,12,walk,agency                    ,0,70,5,5,2,45,29,6
101, Piatnitckoe shosse ,12800000,23,transport,agency                       ,0,34,1,9,4,63,46,6
102, Novoperedelkino ,10200000,3,walk,owner                    ,0,32,4,17,3,8,53,14
103, Novoperedelkino ,92500000,4,walk,owner                    ,0,28,7,23,2,8,30,9
104, Novoperedelkino ,8500000,4,walk,owner                    ,0,30,6,23,1,2,20,11
105, Avtozavodskaia ,42000000,14,walk,owner                 ,0,2792,12,14,2,80,31,20
106, Altufevo ,13200000,15,transport,agency                    ,0,157,10,14,2,56,56,56
107, Khovrino ,2990000,10,transport,realtor                    ,0,38,2,3,1,5,18,3
108, Tcvetnoi bulvar ,5590000,8,walk,realtor                    ,0,27,1,5,1,21,15,4
109, Babushkinskaia ,12200000,5,walk,realtor                    ,0,24,15,17,2,99,66,28
110, Tcvetnoi bulvar ,3490000,8,walk,realtor                    ,0,36,1,6,1,5,8,2
111, Tcvetnoi bulvar ,6690000,8,walk,realtor                    ,0,25,1,6,1,26,20,4
112, Minskaia ,172500000,9,walk,agency                    ,0,742,12,47,4,209,100,34
113, Kropotkinskaia ,10200000,9,walk,realtor                    ,0,31,2,8,1,43,31,7
114, Akademicheskaia ,49000000,10,walk,realtor                    ,0,515,17,24,3,103,57,18
115, Maiakovskaia ,38500000,10,walk,realtor                    ,0,1732,1,4,3,70,45,9
116, Molodezhnaia ,12800000,7,walk,agency                    ,0,295,2,22,1,40,19,9
117, Kashirskaia ,14200000,11,walk,agency                    ,0,73,4,12,2,53,33,9
118, Riazanskii prospekt ,21500000,6,walk,realtor                    ,0,32,15,24,3,121,61,20
119, Nagornaia ,2500000,14,walk,realtor                    ,0,47,1,5,1,16,10,3
120, Filatov Lug ,10500000,9,walk,realtor                    ,0,40,1,9,1,56,56,56
121, Mitino ,17000000,15,walk,agency                    ,0,128,11,17,3,75,45,10
122, Petrovskii park ,12500000,19,transport,realtor                    ,0,622,1,3,3,106,66,17
123,Outskirts,6100000,0,transport,realtor                    ,0,473,2,5,2,35,21,11
124, Ulitca Gorchakova ,8500000,10,walk,realtor                    ,0,509,2,12,1,39,21,10
125, Piatnitckoe shosse ,10900000,27,transport,agency                       ,0,41,2,12,2,50,25,20
126, Piatnitckoe shosse ,11500000,24,transport,agency                       ,0,104,6,14,2,51,31,8
127, Tulskaia ,21950000,10,transport,owner                 ,0,768,3,5,3,71,56,9
128, Kuzminki ,11900000,10,walk,agency                       ,0,76,12,12,2,45,30,6
129, Begovaia ,28500000,2,walk,realtor                    ,0,351,25,32,3,56,56,56
130, Avtozavodskaia ,3190000,7,walk,realtor                    ,0,81,1,5,1,30,24,4
